north_america,eat_out_freq,age,n_people,price,food_type,noise_level,good_server,comments,restaurant_name,target
No,1.0,22,20,25,Italian,medium,Yes,Quality of food and presentation was subpar,,dislike
Yes,4.0,23,30,20,Canadian/American,medium,Yes,Bad chicken wings,Taphouse,dislike
Yes,1.0,23,15,18,Indian,medium,Yes,The food was boring and repetitive,East is East,dislike
Yes,2.0,27,10,13,Other,no music,No,Poker Face waiter. ,Cazba,dislike
Yes,2.0,24,20,30,Indian,high,Yes,bad taste,east is east,dislike
Yes,0.5,23,10,20,Chinese,low,No,Newspaper cooked into the food,,dislike
Yes,2.0,31,7,60,Chinese,medium,No,Food wasn't fresh/good,New Town Bakery & Restaurant,dislike
Yes,5.0,24,3,25,Canadian/American,low,No,"very slow, extremely poor service",coppertank,dislike
Yes,4.0,21,50,30,Canadian/American,high,No,waited over an hour for food and was almost late for class,the gallery ,dislike
Yes,2.5,27,75,25,Mexican,low,Yes,"They had sold out of several items and my order kept getting modified. In addition, slow service overall. ",Can't recall ,dislike
Yes,0.5,24,15,25,Indian,medium,Yes,"Bad food, no cutlery in our take out ",Naam,dislike
Yes,3.0,22,30,20,Other,medium,Yes,Food wasn't memorable; not as good as other ramen I've had before,,dislike
Yes,2.0,32,40,3,Canadian/American,high,Yes,Restaurant was dirty,Bon's Off Broadway,dislike
Yes,2.0,21,20,20,Canadian/American,medium,No,The food was too expensive. Served cold. Long wait time to get in ,Sunshine Diner,dislike
Yes,0.0,25,5,15,Other,low,Yes,"Went into the restaurant expecting authentic Japanese food, but was served something rather different",Ramen Koika,dislike
No,3.0,23,5,25,Chinese,low,Yes,The food is not warm enough,Kirin at downtown,dislike
No,0.0,22,0,0,Other,no music,,dont have worst cause i never eat out,dont have worst cause i never eat out,dislike
Yes,2.0,22,-2,30,Canadian/American,low,Yes,,,dislike
Yes,5.0,22,1,15,Canadian/American,low,Yes,,Vera's Burger Shack,dislike
Yes,5.0,22,4,20,Canadian/American,low,Yes,,do not remember,dislike
Yes,3.0,22,0,15,Chinese,no music,No,,,dislike
Yes,2.0,20,10,20,Chinese,no music,Yes,,Tim Kee Kitchen,dislike
No,2.0,21,30,22,Chinese,high,No,The environment was very not clean. The food tasted awful.,,dislike
No,6.0,26,20,30,Fusion,low,No,,,dislike
