rcid,country,vote
2492,Thailand,1
2492,Malaysia,1
2492,Singapore,1
2492,Philippines,2
2492,Indonesia,1
2492,Australia,2
2492,New Zealand,2
2497,USA,1
2497,Canada,1
2497,Bahamas,1
2497,Cuba,3
2497,Jamaica,1
2497,Trinidad and Tobago,1
2497,Mexico,1
2497,Costa Rica,1
2497,Panama,1
2497,Colombia,1
2497,Venezuela,1
2497,Guyana,1
2497,Ecuador,1
2497,Peru,1
2497,Brazil,1
2497,Bolivia,1
2497,Paraguay,1
2497,Chile,1
2497,Argentina,1
2497,Uruguay,1
2497,UK,1
2497,Ireland,1
2497,Netherlands,1
2497,Belgium,1
2497,Luxembourg,1
2497,France,1
2497,Spain,1
2497,Portugal,1
2497,Poland,3
2497,Austria,1
2497,Hungary,3
2497,Italy,1
2497,Malta,1
2497,Greece,1
2497,Cyprus,2
2497,Bulgaria,3
2497,Russian Federation,3
2497,Ukraine,3
2497,Belarus,3
2497,Finland,2
2497,Sweden,1
2497,Norway,1
2497,Denmark,1
2497,Iceland,1
2497,Mali,2
2497,Burkina Faso,2
2497,Ghana,1
2497,Togo,1
2497,Nigeria,1
2497,Kenya,1
2497,Tanzania,1
2497,Ethiopia,3
2497,Zambia,1
2497,Botswana,1
2497,Algeria,2
2497,Libya,3
2497,Sudan,1
2497,Egypt,1
2497,Syrian Arab Republic,3
2497,Jordan,1
2497,Israel,1
2497,Kuwait,1
2497,China,1
2497,Japan,1
2497,India,2
2497,Pakistan,1
2497,Bangladesh,1
2497,Sri Lanka,1
2497,Nepal,1
2497,Thailand,1
2497,Malaysia,1
2497,Singapore,1
2497,Philippines,1
2497,Indonesia,1
2497,Australia,1
2497,New Zealand,1
2504,USA,3
2504,Canada,3
2504,Bahamas,1
2504,Cuba,1
2504,Jamaica,1
2504,Trinidad and Tobago,1
2504,Mexico,1
2504,Costa Rica,1
2504,Panama,1
2504,Colombia,1
2504,Venezuela,1
2504,Guyana,1
2504,Ecuador,1
2504,Peru,1
2504,Brazil,1
2504,Bolivia,1
2504,Paraguay,3
2504,Argentina,1
2504,Uruguay,1
2504,UK,3
2504,Ireland,2
2504,Netherlands,3
2504,Belgium,3
2504,Luxembourg,3
2504,France,3
2504,Spain,2
2504,Portugal,3
2504,Poland,1
2504,Austria,2
2504,Hungary,1
2504,Italy,3
2504,Malta,1
2504,Greece,2
2504,Cyprus,1
2504,Bulgaria,1
2504,Russian Federation,1
2504,Ukraine,1
2504,Belarus,1
2504,Finland,2
2504,Sweden,2
2504,Norway,3
2504,Denmark,2
2504,Iceland,3
2504,Mali,1
2504,Burkina Faso,1
2504,Ghana,1
2504,Togo,1
2504,Nigeria,1
2504,Kenya,1
2504,Tanzania,1
2504,Ethiopia,1
2504,Zambia,1
2504,Botswana,1
2504,Algeria,1
2504,Libya,1
2504,Sudan,1
2504,Egypt,1
2504,Syrian Arab Republic,1
2504,Jordan,1
2504,Kuwait,1
2504,China,1
2504,Japan,3
2504,India,1
2504,Pakistan,1
2504,Bangladesh,1
2504,Sri Lanka,1
2504,Nepal,1
2504,Thailand,1
2504,Malaysia,1
2504,Singapore,1
2504,Philippines,1
2504,Indonesia,1
2504,Australia,3
2504,New Zealand,3
2510,USA,3
2510,Canada,3
2510,Bahamas,1
2510,Cuba,1
2510,Jamaica,1
2510,Trinidad and Tobago,1
2510,Mexico,1
2510,Panama,1
2510,Colombia,1
2510,Venezuela,1
2510,Guyana,1
2510,Ecuador,1
2510,Peru,1
2510,Brazil,1
2510,Bolivia,1
2510,Paraguay,3
2510,Chile,1
2510,Argentina,1
2510,Uruguay,1
2510,UK,3
2510,Ireland,2
2510,Netherlands,2
2510,Belgium,2
2510,Luxembourg,2
2510,France,3
2510,Spain,2
2510,Portugal,3
2510,Poland,1
2510,Austria,2
2510,Hungary,1
2510,Italy,3
2510,Malta,1
2510,Greece,2
2510,Cyprus,1
2510,Bulgaria,1
2510,Russian Federation,1
2510,Ukraine,1
2510,Belarus,1
2510,Finland,2
2510,Sweden,2
2510,Norway,2
2510,Denmark,2
2510,Iceland,2
2510,Mali,1
2510,Burkina Faso,1
2510,Ghana,1
2510,Togo,1
2510,Nigeria,1
2510,Kenya,1
2510,Tanzania,1
2510,Ethiopia,1
2510,Zambia,1
2510,Botswana,1
2510,Algeria,1
2510,Libya,1
2510,Sudan,1
2510,Egypt,1
2510,Syrian Arab Republic,1
2510,Jordan,1
2510,Kuwait,1
2510,China,1
2510,Japan,2
2510,India,1
2510,Pakistan,1
2510,Bangladesh,1
2510,Sri Lanka,1
2510,Nepal,1
2510,Thailand,1
2510,Malaysia,1
2510,Singapore,1
2510,Philippines,1
2510,Indonesia,1
2510,Australia,3
2510,New Zealand,2
2526,USA,3
2526,Canada,3
2526,Bahamas,2
2526,Cuba,1
2526,Jamaica,2
2526,Trinidad and Tobago,2
2526,Mexico,2
2526,Costa Rica,3
2526,Colombia,2
2526,Venezuela,2
2526,Guyana,1
2526,Ecuador,2
2526,Peru,2
2526,Brazil,2
2526,Bolivia,2
2526,Paraguay,3
2526,Chile,3
2526,Argentina,2
2526,Uruguay,2
2526,UK,3
2526,Ireland,3
2526,Netherlands,3
2526,Belgium,3
2526,Luxembourg,3
2526,France,3
2526,Spain,2
2526,Portugal,3
2526,Poland,1
2526,Austria,2
2526,Hungary,1
2526,Italy,3
2526,Malta,1
2526,Greece,1
2526,Cyprus,1
2526,Bulgaria,1
2526,Russian Federation,1
2526,Ukraine,1
2526,Belarus,1
2526,Finland,3
2526,Sweden,3
2526,Norway,3
2526,Denmark,3
2526,Iceland,3
2526,Mali,1
2526,Burkina Faso,1
2526,Ghana,1
2526,Nigeria,1
2526,Kenya,1
2526,Tanzania,1
2526,Ethiopia,1
2526,Zambia,1
2526,Botswana,1
2526,Algeria,1
2526,Libya,1
2526,Sudan,1
2526,Egypt,1
2526,Syrian Arab Republic,1
2526,Jordan,1
2526,Israel,3
2526,Kuwait,1
2526,China,1
2526,Japan,3
2526,India,1
2526,Pakistan,1
2526,Bangladesh,1
2526,Sri Lanka,1
2526,Nepal,2
2526,Thailand,2
2526,Malaysia,1
2526,Singapore,2
2526,Philippines,2
2526,Indonesia,1
2526,Australia,3
2526,New Zealand,3
2563,USA,1
2563,Canada,1
2563,Bahamas,1
2563,Cuba,3
2563,Jamaica,1
2563,Trinidad and Tobago,1
2563,Mexico,2
2563,Costa Rica,1
2563,Panama,2
2563,Colombia,1
2563,Venezuela,2
2563,Guyana,1
2563,Ecuador,1
2563,Peru,1
2563,Brazil,2
2563,Bolivia,1
2563,Paraguay,1
2563,Chile,2
2563,Argentina,2
2563,Uruguay,1
2563,UK,1
2563,Ireland,1
2563,Netherlands,1
2563,Belgium,1
2563,Luxembourg,1
2563,France,1
2563,Spain,1
2563,Portugal,1
2563,Poland,3
2563,Austria,1
2563,Hungary,3
2563,Italy,1
2563,Malta,1
2563,Greece,1
2563,Cyprus,2
2563,Bulgaria,3
2563,Russian Federation,3
2563,Ukraine,3
2563,Belarus,3
2563,Finland,2
2563,Sweden,1
2563,Norway,1
2563,Denmark,1
2563,Iceland,1
2563,Mali,1
2563,Burkina Faso,2
2563,Ghana,1
2563,Togo,1
2563,Nigeria,1
2563,Kenya,1
2563,Tanzania,2
2563,Ethiopia,3
2563,Zambia,1
2563,Botswana,1
2563,Algeria,2
2563,Libya,3
2563,Sudan,1
2563,Egypt,1
2563,Syrian Arab Republic,3
2563,Jordan,2
2563,Israel,1
2563,Kuwait,2
2563,China,1
2563,Japan,1
2563,India,3
2563,Pakistan,1
2563,Bangladesh,1
2563,Sri Lanka,2
2563,Nepal,1
2563,Thailand,1
2563,Malaysia,1
2563,Singapore,1
2563,Philippines,1
2563,Indonesia,1
2563,Australia,1
2563,New Zealand,1
2610,USA,3
2610,Canada,1
2610,Bahamas,2
2610,Cuba,1
2610,Jamaica,1
2610,Trinidad and Tobago,2
2610,Mexico,1
2610,Costa Rica,2
2610,Panama,2
2610,Colombia,2
2610,Guyana,1
2610,Ecuador,2
2610,Peru,2
2610,Brazil,3
2610,Paraguay,3
2610,Chile,3
2610,Uruguay,3
2610,UK,2
2610,Ireland,1
2610,Netherlands,1
2610,Belgium,1
2610,Luxembourg,1
2610,France,1
2610,Spain,1
2610,Portugal,1
2610,Poland,1
2610,Austria,1
2610,Hungary,1
2610,Italy,1
2610,Malta,1
2610,Greece,1
2610,Cyprus,1
2610,Bulgaria,1
2610,Russian Federation,1
2610,Ukraine,1
2610,Belarus,1
2610,Finland,1
2610,Sweden,1
2610,Norway,1
2610,Denmark,1
2610,Iceland,1
2610,Mali,1
2610,Burkina Faso,1
2610,Ghana,1
2610,Togo,1
2610,Nigeria,1
2610,Kenya,1
2610,Tanzania,1
2610,Ethiopia,1
2610,Zambia,1
2610,Botswana,1
2610,Algeria,1
2610,Libya,1
2610,Sudan,2
2610,Egypt,2
2610,Syrian Arab Republic,1
2610,Jordan,2
2610,Kuwait,1
2610,China,2
2610,Japan,2
2610,India,1
2610,Pakistan,3
2610,Bangladesh,3
2610,Sri Lanka,2
2610,Nepal,2
2610,Thailand,2
2610,Malaysia,2
2610,Singapore,2
2610,Philippines,3
2610,Indonesia,3
2610,Australia,1
2610,New Zealand,1
2641,USA,1
2641,Canada,1
2641,Bahamas,1
2641,Cuba,3
2641,Jamaica,1
2641,Trinidad and Tobago,2
2641,Mexico,2
2641,Costa Rica,1
2641,Panama,2
2641,Colombia,1
2641,Venezuela,1
2641,Guyana,3
2641,Ecuador,1
2641,Peru,1
2641,Brazil,1
2641,Bolivia,1
2641,Paraguay,1
2641,Chile,1
2641,Argentina,1
2641,Uruguay,1
2641,UK,1
2641,Ireland,1
2641,Netherlands,1
2641,Belgium,1
2641,Luxembourg,1
2641,France,1
2641,Spain,1
2641,Portugal,1
2641,Poland,3
2641,Austria,1
2641,Hungary,3
2641,Italy,1
2641,Malta,1
2641,Greece,1
2641,Bulgaria,3
2641,Russian Federation,3
2641,Ukraine,3
2641,Belarus,3
2641,Finland,2
2641,Sweden,1
2641,Norway,1
2641,Denmark,1
2641,Iceland,1
2641,Mali,1
2641,Burkina Faso,1
2641,Ghana,1
2641,Togo,1
2641,Nigeria,1
2641,Kenya,1
2641,Tanzania,2
2641,Ethiopia,3
2641,Zambia,1
2641,Botswana,1
2641,Algeria,2
2641,Libya,3
2641,Sudan,1
2641,Egypt,1
2641,Syrian Arab Republic,3
2641,Jordan,1
2641,Israel,1
2641,Kuwait,1
2641,China,1
2641,Japan,1
2641,India,2
2641,Pakistan,1
2641,Bangladesh,1
2641,Sri Lanka,1
2641,Nepal,1
2641,Thailand,1
2641,Malaysia,1
2641,Singapore,1
2641,Brunei Darussalam,1
2641,Philippines,1
2641,Indonesia,1
2641,Australia,1
2641,New Zealand,1
2645,USA,1
2645,Canada,1
2645,Bahamas,1
2645,Cuba,3
2645,Jamaica,1
2645,Trinidad and Tobago,1
2645,Mexico,1
2645,Costa Rica,1
2645,Panama,1
2645,Colombia,1
2645,Venezuela,1
2645,Guyana,1
2645,Ecuador,1
2645,Peru,1
2645,Brazil,1
2645,Bolivia,1
2645,Paraguay,1
2645,Chile,1
2645,Argentina,1
2645,Uruguay,1
2645,UK,1
2645,Ireland,1
2645,Netherlands,1
2645,Belgium,1
2645,Luxembourg,1
2645,France,1
2645,Spain,1
2645,Portugal,1
2645,Poland,3
2645,Austria,1
2645,Hungary,3
2645,Italy,1
2645,Malta,1
2645,Greece,1
2645,Cyprus,2
2645,Bulgaria,3
2645,Russian Federation,3
2645,Ukraine,3
2645,Belarus,3
2645,Finland,2
2645,Sweden,1
2645,Norway,1
2645,Denmark,1
2645,Iceland,1
2645,Mali,2
2645,Burkina Faso,2
2645,Ghana,1
2645,Togo,1
2645,Nigeria,1
2645,Kenya,1
2645,Tanzania,1
2645,Ethiopia,3
2645,Zambia,1
2645,Botswana,1
2645,Algeria,2
2645,Libya,3
2645,Sudan,1
2645,Egypt,1
2645,Syrian Arab Republic,3
2645,Jordan,1
2645,Israel,1
2645,Kuwait,1
2645,China,1
2645,Japan,1
2645,India,2
2645,Pakistan,1
2645,Bangladesh,1
2645,Sri Lanka,1
2645,Nepal,1
2645,Thailand,1
2645,Malaysia,1
2645,Singapore,1
2645,Brunei Darussalam,1
2645,Philippines,1
2645,Indonesia,1
2645,Australia,1
2645,New Zealand,1
2667,USA,3
2667,Canada,3
2667,Bahamas,2
2667,Cuba,1
2667,Jamaica,2
2667,Trinidad and Tobago,1
2667,Mexico,1
2667,Panama,2
2667,Colombia,1
2667,Venezuela,2
2667,Guyana,1
2667,Ecuador,1
2667,Peru,1
2667,Brazil,1
2667,Bolivia,1
2667,Paraguay,2
2667,Chile,2
2667,Argentina,1
2667,Uruguay,2
2667,UK,3
2667,Ireland,3
2667,Netherlands,3
2667,Belgium,3
2667,Luxembourg,3
2667,France,3
2667,Spain,2
2667,Portugal,2
2667,Poland,1
2667,Austria,2
2667,Hungary,1
2667,Italy,3
2667,Malta,1
2667,Greece,1
2667,Cyprus,1
2667,Bulgaria,1
2667,Russian Federation,1
2667,Ukraine,1
2667,Belarus,1
2667,Finland,2
2667,Sweden,2
2667,Norway,3
2667,Denmark,3
2667,Iceland,3
2667,Mali,1
2667,Burkina Faso,1
2667,Ghana,1
2667,Togo,1
2667,Nigeria,1
2667,Kenya,1
2667,Tanzania,1
2667,Ethiopia,1
2667,Zambia,1
2667,Botswana,1
2667,Algeria,1
2667,Libya,1
2667,Sudan,1
2667,Egypt,1
2667,Syrian Arab Republic,1
2667,Jordan,1
2667,Israel,3
2667,Kuwait,1
2667,China,1
2667,Japan,2
2667,India,1
2667,Pakistan,1
2667,Bangladesh,1
2667,Sri Lanka,1
2667,Nepal,1
2667,Thailand,1
2667,Malaysia,1
2667,Singapore,1
2667,Brunei Darussalam,1
2667,Philippines,1
2667,Indonesia,1
2667,Australia,3
2667,New Zealand,3
2668,USA,3
2668,Canada,3
2668,Bahamas,2
2668,Cuba,1
2668,Jamaica,2
2668,Trinidad and Tobago,2
2668,Mexico,1
2668,Panama,2
2668,Colombia,2
2668,Venezuela,2
2668,Guyana,1
2668,Ecuador,2
2668,Peru,2
2668,Brazil,2
2668,Bolivia,2
2668,Paraguay,2
2668,Argentina,2
2668,Uruguay,2
2668,UK,3
2668,Ireland,3
2668,Netherlands,3
2668,Belgium,3
2668,Luxembourg,3
2668,France,3
2668,Spain,2
2668,Portugal,3
2668,Poland,1
2668,Austria,2
2668,Hungary,1
2668,Italy,3
2668,Malta,1
2668,Greece,1
2668,Cyprus,1
2668,Bulgaria,1
2668,Russian Federation,1
2668,Ukraine,1
2668,Belarus,1
2668,Finland,3
2668,Sweden,3
2668,Norway,3
2668,Denmark,3
2668,Iceland,3
2668,Mali,1
2668,Burkina Faso,1
2668,Ghana,1
2668,Togo,1
2668,Nigeria,1
2668,Kenya,1
2668,Tanzania,1
2668,Ethiopia,1
2668,Zambia,1
2668,Botswana,1
2668,Algeria,1
2668,Libya,1
2668,Sudan,1
2668,Egypt,2
2668,Syrian Arab Republic,1
2668,Jordan,1
2668,Israel,3
2668,Kuwait,1
2668,China,1
2668,Japan,3
2668,India,1
2668,Pakistan,1
2668,Bangladesh,1
2668,Sri Lanka,1
2668,Nepal,1
2668,Thailand,2
2668,Malaysia,1
2668,Singapore,2
2668,Brunei Darussalam,1
2668,Philippines,2
2668,Indonesia,1
2668,Australia,3
2668,New Zealand,3
2689,USA,1
2689,Canada,1
2689,Bahamas,2
2689,Cuba,3
2689,Jamaica,1
2689,Trinidad and Tobago,1
2689,Mexico,2
2689,Costa Rica,1
2689,Panama,1
2689,Colombia,1
2689,Venezuela,1
2689,Guyana,1
2689,Ecuador,1
2689,Peru,1
2689,Brazil,1
2689,Bolivia,1
2689,Paraguay,1
2689,Chile,1
2689,Argentina,1
2689,Uruguay,1
2689,UK,1
2689,Ireland,1
2689,Netherlands,1
2689,Belgium,1
2689,Luxembourg,1
2689,France,1
2689,Spain,1
2689,Portugal,1
2689,Poland,3
2689,Austria,1
2689,Hungary,3
2689,Italy,1
2689,Malta,1
2689,Greece,1
2689,Cyprus,2
2689,Bulgaria,3
2689,Russian Federation,3
2689,Ukraine,3
2689,Belarus,3
2689,Finland,1
2689,Sweden,1
2689,Norway,1
2689,Denmark,1
2689,Iceland,1
2689,Mali,1
2689,Burkina Faso,2
2689,Ghana,1
2689,Togo,1
2689,Nigeria,1
2689,Kenya,1
2689,Tanzania,1
2689,Ethiopia,2
2689,Zambia,1
2689,Botswana,1
2689,Algeria,2
2689,Libya,3
2689,Sudan,1
2689,Egypt,1
2689,Jordan,1
2689,Israel,1
2689,Kuwait,1
2689,China,1
2689,Japan,1
2689,India,2
2689,Pakistan,1
2689,Bangladesh,1
2689,Sri Lanka,1
2689,Nepal,1
2689,Thailand,1
2689,Malaysia,1
2689,Singapore,1
2689,Brunei Darussalam,1
2689,Philippines,1
2689,Indonesia,1
2689,Australia,1
2689,New Zealand,1
2758,USA,3
2758,Canada,1
2758,Bahamas,2
2758,Cuba,1
2758,Jamaica,1
2758,Trinidad and Tobago,2
2758,Mexico,1
2758,Costa Rica,1
2758,Panama,1
2758,Colombia,1
2758,Venezuela,1
2758,Guyana,1
2758,Ecuador,2
2758,Peru,2
2758,Brazil,2
2758,Paraguay,3
2758,Chile,3
2758,Argentina,1
2758,Uruguay,3
2758,UK,2
2758,Ireland,1
2758,Netherlands,1
2758,Belgium,1
2758,Luxembourg,1
2758,France,1
2758,Spain,1
2758,Portugal,1
2758,Poland,1
2758,Austria,1
2758,Hungary,1
2758,Italy,1
2758,Malta,1
2758,Greece,1
2758,Cyprus,1
2758,Bulgaria,1
2758,Russian Federation,1
2758,Ukraine,1
2758,Belarus,1
2758,Finland,1
2758,Sweden,1
2758,Norway,1
2758,Denmark,1
2758,Iceland,1
2758,Mali,1
2758,Burkina Faso,1
2758,Ghana,1
2758,Togo,1
2758,Nigeria,1
2758,Kenya,1
2758,Tanzania,1
2758,Ethiopia,1
2758,Zambia,1
2758,Botswana,1
2758,Algeria,1
2758,Libya,1
2758,Sudan,2
2758,Egypt,1
2758,Syrian Arab Republic,1
2758,Jordan,2
2758,Kuwait,1
2758,China,2
2758,Japan,2
2758,India,1
2758,Pakistan,2
2758,Bangladesh,3
2758,Sri Lanka,2
2758,Nepal,2
2758,Thailand,2
2758,Malaysia,2
2758,Singapore,2
2758,Brunei Darussalam,2
2758,Philippines,2
2758,Indonesia,3
2758,Australia,1
2758,New Zealand,1
2774,USA,3
2774,Canada,2
2774,Bahamas,1
2774,Cuba,1
2774,Jamaica,1
2774,Trinidad and Tobago,1
2774,Mexico,1
2774,Costa Rica,1
2774,Panama,1
2774,Colombia,1
2774,Venezuela,1
2774,Guyana,1
2774,Ecuador,1
2774,Peru,1
2774,Brazil,1
2774,Bolivia,1
2774,Paraguay,1
2774,Argentina,1
2774,UK,3
2774,Ireland,2
2774,Netherlands,3
2774,Belgium,3
2774,Luxembourg,3
2774,France,2
2774,Spain,2
2774,Portugal,2
2774,Poland,1
2774,Austria,1
2774,Hungary,1
2774,Italy,1
2774,Malta,1
2774,Greece,1
2774,Cyprus,1
2774,Bulgaria,1
2774,Russian Federation,1
2774,Ukraine,1
2774,Belarus,1
2774,Finland,2
2774,Sweden,2
2774,Norway,2
2774,Denmark,2
2774,Iceland,2
2774,Mali,1
2774,Burkina Faso,1
2774,Ghana,1
2774,Togo,1
2774,Nigeria,1
2774,Kenya,1
2774,Tanzania,1
2774,Ethiopia,1
2774,Zambia,1
2774,Botswana,1
2774,Algeria,1
2774,Libya,1
2774,Sudan,1
2774,Egypt,1
2774,Syrian Arab Republic,1
2774,Jordan,1
2774,Israel,2
2774,Kuwait,1
2774,China,1
2774,Japan,2
2774,India,1
2774,Pakistan,1
2774,Bangladesh,1
2774,Sri Lanka,1
2774,Nepal,1
2774,Thailand,1
2774,Malaysia,1
2774,Singapore,1
2774,Brunei Darussalam,1
2774,Philippines,1
2774,Indonesia,1
2774,Australia,2
2774,New Zealand,2
2790,USA,3
2790,Canada,3
2790,Cuba,1
2790,Jamaica,1
2790,Trinidad and Tobago,1
2790,Mexico,1
2790,Costa Rica,1
2790,Panama,1
2790,Colombia,1
2790,Venezuela,1
2790,Guyana,1
2790,Ecuador,1
2790,Peru,1
2790,Brazil,1
2790,Bolivia,1
2790,Argentina,1
2790,Uruguay,1
2790,UK,3
2790,Ireland,2
2790,Netherlands,3
2790,Belgium,3
2790,Luxembourg,3
2790,France,3
2790,Spain,2
2790,Portugal,2
2790,Poland,1
2790,Austria,2
2790,Hungary,1
2790,Italy,3
2790,Malta,1
2790,Greece,2
2790,Cyprus,1
2790,Bulgaria,1
2790,Russian Federation,1
2790,Ukraine,1
2790,Belarus,1
2790,Finland,2
2790,Sweden,2
2790,Norway,2
2790,Denmark,2
2790,Iceland,2
2790,Mali,1
2790,Burkina Faso,1
2790,Ghana,1
2790,Togo,1
2790,Nigeria,1
2790,Kenya,1
2790,Tanzania,1
2790,Ethiopia,1
2790,Zambia,1
2790,Botswana,1
2790,Algeria,1
2790,Libya,1
2790,Sudan,1
2790,Egypt,1
2790,Syrian Arab Republic,1
2790,Jordan,1
2790,Israel,2
2790,Kuwait,1
2790,China,1
2790,Japan,3
2790,India,1
2790,Pakistan,1
2790,Bangladesh,1
2790,Sri Lanka,1
2790,Nepal,1
2790,Thailand,1
2790,Malaysia,1
2790,Singapore,1
2790,Brunei Darussalam,1
2790,Philippines,1
2790,Indonesia,1
2790,Australia,2
2790,New Zealand,2
2793,USA,1
2793,Canada,1
2793,Bahamas,1
2793,Cuba,3
2793,Jamaica,1
2793,Trinidad and Tobago,1
2793,Mexico,2
2793,Costa Rica,1
2793,Panama,1
2793,Colombia,1
2793,Venezuela,1
2793,Guyana,2
2793,Ecuador,1
2793,Peru,1
2793,Brazil,1
2793,Bolivia,1
2793,Paraguay,1
2793,Chile,1
2793,Argentina,1
2793,Uruguay,1
2793,UK,1
2793,Ireland,1
2793,Netherlands,1
2793,Belgium,1
2793,Luxembourg,1
2793,France,1
2793,Spain,1
2793,Portugal,1
2793,Poland,3
2793,Austria,1
2793,Hungary,3
2793,Italy,1
2793,Malta,1
2793,Greece,1
2793,Bulgaria,3
2793,Russian Federation,3
2793,Ukraine,3
2793,Belarus,3
2793,Finland,2
2793,Sweden,1
2793,Norway,1
2793,Denmark,1
2793,Iceland,1
2793,Mali,1
2793,Burkina Faso,1
2793,Ghana,1
2793,Togo,1
2793,Nigeria,1
2793,Kenya,1
2793,Tanzania,2
2793,Ethiopia,3
2793,Zambia,1
2793,Botswana,1
2793,Algeria,2
2793,Libya,3
2793,Sudan,1
2793,Egypt,1
2793,Syrian Arab Republic,3
2793,Jordan,1
2793,Israel,1
2793,Kuwait,1
2793,China,1
2793,Japan,1
2793,India,2
2793,Pakistan,1
2793,Bangladesh,1
2793,Sri Lanka,1
2793,Nepal,1
2793,Thailand,1
2793,Malaysia,1
2793,Singapore,1
2793,Brunei Darussalam,1
2793,Philippines,1
2793,Indonesia,1
2793,Australia,1
2793,New Zealand,1
2795,USA,1
2795,Canada,1
2795,Bahamas,1
2795,Cuba,3
2795,Jamaica,1
2795,Trinidad and Tobago,1
2795,Mexico,1
2795,Costa Rica,1
2795,Panama,1
2795,Colombia,1
2795,Venezuela,1
2795,Guyana,1
2795,Ecuador,1
2795,Peru,1
2795,Brazil,1
2795,Bolivia,1
2795,Paraguay,1
2795,Chile,1
2795,Argentina,1
2795,Uruguay,1
2795,UK,1
2795,Ireland,1
2795,Netherlands,1
2795,Belgium,1
2795,Luxembourg,1
2795,France,1
2795,Spain,1
2795,Portugal,1
2795,Poland,3
2795,Austria,1
2795,Hungary,3
2795,Italy,1
2795,Malta,1
2795,Greece,1
2795,Cyprus,2
2795,Bulgaria,3
2795,Russian Federation,3
2795,Ukraine,3
2795,Belarus,3
2795,Finland,2
2795,Sweden,1
2795,Norway,1
2795,Denmark,1
2795,Iceland,1
2795,Mali,2
2795,Burkina Faso,1
2795,Ghana,1
2795,Togo,1
2795,Nigeria,1
2795,Kenya,1
2795,Tanzania,1
2795,Ethiopia,3
2795,Zambia,1
2795,Botswana,1
2795,Algeria,2
2795,Libya,3
2795,Sudan,1
2795,Egypt,1
2795,Syrian Arab Republic,3
2795,Jordan,1
2795,Israel,1
2795,Kuwait,1
2795,China,1
2795,Japan,1
2795,India,2
2795,Pakistan,1
2795,Bangladesh,1
2795,Sri Lanka,1
2795,Nepal,1
2795,Thailand,1
2795,Malaysia,1
2795,Singapore,1
2795,Brunei Darussalam,1
2795,Philippines,1
2795,Indonesia,1
2795,Australia,1
2795,New Zealand,1
2839,USA,1
2839,Canada,1
2839,Bahamas,1
2839,Cuba,3
2839,Jamaica,1
2839,Trinidad and Tobago,1
2839,Mexico,2
2839,Panama,1
2839,Colombia,1
2839,Venezuela,1
2839,Guyana,1
2839,Ecuador,1
2839,Peru,1
